id,name,background_hex,prompt,negative_prompt
annualGoal2025,Munro Challenge 2025,#1E3F20,"A flat vector-style minimalist illustration of a bold blocky ""2025"" typographic treatment overlaid on a minimalist mountain silhouette with a small white snowcap on a solid #1E3F20 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
annualGoal2026,Munro Challenge 2026,#1E3F20,"A flat vector-style minimalist illustration of a bold blocky ""2026"" typographic treatment overlaid on a minimalist mountain silhouette rendered in a fresh dawn orange and green line-art colorway on a solid #1E3F20 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteAngus,Angus Complete,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows three smooth gently rounded hill silhouettes with broad grassy slopes, representing the rolling Angus glens. The word ""ANGUS"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape, stars"
areaCompleteArgyll,Argyll Wrapped Up,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: top half shows a single tall pointed mountain peak above a calm loch with a mirror reflection. The word ""ARGYLL"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A purple-brown background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, 3D render, bevel, emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape, waves, ocean"
areaCompleteCairngorms,Master of the Cairngorms,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows a vast broad elevated plateau with a small stone cairn silhouette on the flat top, representing the high Cairngorm tableland. The word ""CAIRNGORMS"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteFortWilliam,Fort William Finished,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows the massive broad profile of Ben Nevis — a wide imposing mountain with a flat summit plateau and steep flanks, reflected in a calm loch below. The words ""FORT WILLIAM"" in a clean bold sans-serif font appear centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, crosshair, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteIslands,Island Munroist,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows a small ferry boat silhouette on calm flat water with the dramatic jagged Cuillin ridge of Skye rising behind it. The word ""ISLANDS"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, Skye, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteKintail,Kintail Conquered,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows five smooth mountain peaks in an elegant connected ridge line — the Five Sisters of Kintail — with snow caps on each summit, arranged side by side across the image. The word ""KINTAIL"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteLochLomond,Loch Lomond Complete,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows the symmetrical conical peak of Ben Lomond with a mirror reflection in the calm loch below. The words ""LOCH LOMOND"" in a clean bold sans-serif font appear centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, ripples, waves, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteLochNess,Ness-side Navigator,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows a long dark loch stretching into the distance between low mountain ridges, with a small playful triple-humped Nessie silhouette on the loch surface. The words ""LOCH NESS"" in a clean bold sans-serif font appear centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
